keep,rand,default,loan_amount,emp_length,home_ownership,income,loan_purpose,debt_to_income,credit_score,recent_inquiry,delinquent,credit_accounts,bad_public_record,credit_utilization,past_bankrupt
1,0.043599228,0,LOW,10+ years,MORTGAGE,HIGH,major_purchase,AVERAGE,HIGH,NO,NEVER,MANY,NO,LOW,NO
0,0.21367254,0,MEDIUM,< 2 years,MORTGAGE,HIGH,medical,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,MEDIUM,NO
0,0.615051433,0,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
0,0.572403874,0,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
1,0.190956401,1,HIGH,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.560028185,0,MEDIUM,10+ years,OWN,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.896723131,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
1,0.677848493,1,MEDIUM,< 2 years,RENT,MEDIUM,major_purchase,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.992644215,0,HIGH,2 - 5 years,MORTGAGE,HIGH,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
1,0.677210253,1,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.629704753,1,LOW,2 - 5 years,RENT,MEDIUM,other,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
0,0.788549808,0,LOW,10+ years,MORTGAGE,HIGH,debt_consolidation,LOW,AVERAGE,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
0,0.428946961,0,MEDIUM,< 2 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.305929301,0,LOW,6 - 9 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
0,0.235961238,0,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,HIGH,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.125605024,0,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
0,0.210189731,0,LOW,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
0,0.330886639,0,MEDIUM,6 - 9 years,RENT,LOW,credit_card,LOW,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
0,0.901702586,0,MEDIUM,10+ years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.379465698,0,MEDIUM,2 - 5 years,RENT,MEDIUM,moving,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,LOW,NO
0,0.612663074,0,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.033060144,0,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.475955447,0,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
1,0.00812692,0,MEDIUM,2 - 5 years,RENT,MEDIUM,other,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
0,0.339652612,0,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,MORE THAN 2 YEARS AGO,MANY,NO,LOW,NO
0,0.194112874,0,LOW,6 - 9 years,MORTGAGE,MEDIUM,other,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,HIGH,NO
1,0.152687746,0,LOW,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.785446689,0,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,LOW,HIGH,YES,NEVER,FEW,NO,MEDIUM,NO
0,0.547459332,0,MEDIUM,6 - 9 years,RENT,HIGH,small_business,AVERAGE,AVERAGE,YES,MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
1,0.771327281,1,LOW,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.053060481,0,MEDIUM,6 - 9 years,RENT,LOW,other,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.383280717,0,MEDIUM,10+ years,RENT,MEDIUM,credit_card,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
0,0.644774972,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,HIGH,NO,NEVER,FEW,NO,MEDIUM,NO
1,0.662192696,1,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.91208779,0,HIGH,6 - 9 years,RENT,HIGH,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.288408405,0,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
1,0.75475917,1,MEDIUM,2 - 5 years,RENT,MEDIUM,car,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
1,0.164302993,0,MEDIUM,< 2 years,RENT,MEDIUM,credit_card,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.022295395,1,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
1,0.020478411,0,HIGH,6 - 9 years,RENT,HIGH,credit_card,HIGH,LOW,YES,NEVER,MANY,NO,HIGH,NO
0,0.328292836,0,MEDIUM,< 2 years,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
0,0.180207863,0,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.15942012,0,MEDIUM,< 2 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.654844824,0,MEDIUM,< 2 years,MORTGAGE,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
0,0.439043942,0,HIGH,6 - 9 years,RENT,MEDIUM,small_business,HIGH,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
0,0.493325742,0,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
0,0.330236557,0,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
1,0.755977927,1,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.028308904,0,LOW,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.618890491,1,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,YES,MEDIUM,YES
0,0.851000014,0,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
1,0.383082706,1,MEDIUM,2 - 5 years,RENT,MEDIUM,small_business,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
0,0.21534115,0,HIGH,2 - 5 years,OWN,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
0,0.671272852,0,HIGH,2 - 5 years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,MANY,YES,HIGH,YES
1,0.62149772,1,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
0,0.657303612,0,LOW,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,NO,MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
0,0.683668365,0,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
0,0.762849927,0,MEDIUM,< 2 years,OWN,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.132824139,0,MEDIUM,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO
0,0.964439612,0,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
0,0.262076133,0,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,YES,HIGH,YES
1,0.099567382,0,HIGH,< 2 years,MORTGAGE,MEDIUM,small_business,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
0,0.40717307,0,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,LOW,LOW,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
0,0.744913873,0,HIGH,2 - 5 years,MORTGAGE,HIGH,home_improvement,LOW,AVERAGE,YES,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
0,0.862167623,0,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
0,0.476005044,0,MEDIUM,6 - 9 years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
0,0.490611793,0,LOW,2 - 5 years,RENT,MEDIUM,major_purchase,LOW,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
0,0.946466646,0,MEDIUM,10+ years,RENT,LOW,credit_card,AVERAGE,AVERAGE,YES,MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
0,0.830172169,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
0,0.34862554,0,MEDIUM,2 - 5 years,RENT,LOW,other,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
1,0.064222461,0,LOW,< 2 years,MORTGAGE,MEDIUM,car,LOW,HIGH,NO,NEVER,FEW,NO,HIGH,NO
0,0.967604302,0,MEDIUM,6 - 9 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
0,0.962830488,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.572877797,0,MEDIUM,< 2 years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.227605138,0,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,credit_card,LOW,AVERAGE,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
0,0.236829845,0,MEDIUM,2 - 5 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.491244482,0,MEDIUM,10+ years,RENT,MEDIUM,medical,HIGH,AVERAGE,YES,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
0,0.964854898,0,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,HIGH,AVERAGE,NO,MORE THAN 2 YEARS AGO,AVERAGE,YES,MEDIUM,NO
1,0.037882413,0,HIGH,6 - 9 years,RENT,HIGH,credit_card,HIGH,LOW,YES,MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO
0,0.848381104,0,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.96033543,1,HIGH,6 - 9 years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
1,0.004803213,0,LOW,10+ years,MORTGAGE,HIGH,car,LOW,AVERAGE,NO,MORE THAN 2 YEARS AGO,FEW,NO,LOW,NO
0,0.552725275,0,MEDIUM,< 2 years,RENT,HIGH,major_purchase,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,MEDIUM,NO
1,0.590250136,1,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.856983577,0,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.313633194,0,MEDIUM,6 - 9 years,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.948976315,0,MEDIUM,6 - 9 years,RENT,HIGH,credit_card,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.630518085,0,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.38896461,1,HIGH,10+ years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
0,0.404509963,0,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
0,0.222563218,0,MEDIUM,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.424079824,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.876735868,0,LOW,10+ years,MORTGAGE,LOW,vacation,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
0,0.714806334,0,MEDIUM,6 - 9 years,MORTGAGE,HIGH,small_business,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,LOW,NO
1,0.064177693,0,MEDIUM,6 - 9 years,OWN,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.42662658,0,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.049400675,0,MEDIUM,2 - 5 years,MORTGAGE,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
1,0.172179037,1,MEDIUM,< 2 years,RENT,MEDIUM,credit_card,HIGH,LOW,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
0,0.760024908,0,MEDIUM,6 - 9 years,MORTGAGE,LOW,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.631255903,0,MEDIUM,6 - 9 years,RENT,LOW,debt_consolidation,LOW,AVERAGE,NO,MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
0,0.741416788,0,MEDIUM,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
0,0.777965146,0,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.25181496,0,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.469582953,1,HIGH,10+ years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
1,0.984066337,1,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
0,0.497940168,0,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
0,0.348066614,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
1,0.603138835,1,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.415609061,0,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
0,0.284042969,0,LOW,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
0,0.328489423,0,HIGH,10+ years,RENT,MEDIUM,credit_card,HIGH,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
0,0.915576729,0,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.461842403,0,MEDIUM,2 - 5 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,LOW,NO
0,0.807066021,0,MEDIUM,< 2 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.093492795,1,HIGH,6 - 9 years,MORTGAGE,HIGH,home_improvement,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.114869334,0,MEDIUM,2 - 5 years,MORTGAGE,LOW,medical,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.401364129,0,LOW,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,YES,MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
0,0.533992242,0,MEDIUM,10+ years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.408035645,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.174996749,0,MEDIUM,< 2 years,RENT,HIGH,credit_card,LOW,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
1,0.7558075,1,MEDIUM,10+ years,RENT,MEDIUM,credit_card,HIGH,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.715693581,0,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.759451888,0,MEDIUM,2 - 5 years,MORTGAGE,LOW,small_business,AVERAGE,HIGH,NO,NEVER,FEW,NO,LOW,NO
1,0.026707863,0,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
0,0.974941469,0,LOW,2 - 5 years,RENT,MEDIUM,other,AVERAGE,AVERAGE,NO,MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO
1,0.02017954,0,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.49939138,0,MEDIUM,< 2 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
0,0.332649099,0,MEDIUM,6 - 9 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
1,0.317661876,1,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.623981903,0,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,NO,MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
0,0.736025985,0,HIGH,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,HIGH,NO
0,0.171606663,0,MEDIUM,6 - 9 years,MORTGAGE,HIGH,home_improvement,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
1,0.07696928,0,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.471915647,0,HIGH,< 2 years,RENT,HIGH,credit_card,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.334041608,1,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.965284448,0,MEDIUM,2 - 5 years,MORTGAGE,HIGH,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
1,0.875767494,1,MEDIUM,10+ years,RENT,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.372198633,0,MEDIUM,2 - 5 years,RENT,MEDIUM,major_purchase,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
1,0.498409926,1,MEDIUM,< 2 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,IN PAST 2 YEARS,AVERAGE,NO,HIGH,NO
1,0.122458706,0,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
0,0.726169391,0,MEDIUM,2 - 5 years,RENT,LOW,credit_card,LOW,HIGH,NO,NEVER,FEW,NO,MEDIUM,NO
0,0.194522781,0,MEDIUM,2 - 5 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
0,0.887214254,0,MEDIUM,10+ years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
1,0.104101358,0,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.947837531,0,HIGH,2 - 5 years,MORTGAGE,MEDIUM,house,LOW,LOW,NO,IN PAST 2 YEARS,FEW,YES,HIGH,YES
1,0.13172442,0,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.988458121,0,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.376457176,0,MEDIUM,2 - 5 years,RENT,LOW,car,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.49810366,0,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
0,0.801265641,0,MEDIUM,10+ years,MORTGAGE,HIGH,car,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
1,0.132084494,0,HIGH,10+ years,OWN,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES,NEVER,FEW,NO,MEDIUM,NO
1,0.671135579,1,LOW,unemployed,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
0,0.656982987,0,MEDIUM,2 - 5 years,MORTGAGE,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
1,0.031691087,0,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
